c: 0.001
sigma: 0.001
accuracy: 60.766666666666666 %
c: 0.001
sigma: 0.01
accuracy: 60.766666666666666 %
c: 0.001
sigma: 0.1
accuracy: 60.766666666666666 %
c: 0.001
sigma: 1
accuracy: 60.766666666666666 %
c: 0.001
sigma: 10
accuracy: 60.766666666666666 %
c: 0.001
sigma: 100
accuracy: 60.766666666666666 %
c: 0.01
sigma: 0.001
accuracy: 60.766666666666666 %
c: 0.01
sigma: 0.01
accuracy: 60.766666666666666 %
c: 0.01
sigma: 0.1
accuracy: 60.766666666666666 %
c: 0.01
sigma: 1
accuracy: 60.766666666666666 %
c: 0.01
sigma: 10
accuracy: 73.46666666666667 %
c: 0.01
sigma: 100
accuracy: 67.43333333333334 %
c: 0.1
sigma: 0.001
accuracy: 61.9 %
c: 0.1
sigma: 0.01
accuracy: 62.63333333333333 %
c: 0.1
sigma: 0.1
accuracy: 63.66666666666667 %
c: 0.1
sigma: 1
accuracy: 65.8 %
c: 0.1
sigma: 10
accuracy: 81.3 %
c: 0.1
sigma: 100
accuracy: 62.06666666666667 %
c: 1
sigma: 0.001
accuracy: 99.96666666666667 %
c: 1
sigma: 0.01
accuracy: 99.96666666666667 %
c: 1
sigma: 0.1
accuracy: 99.96666666666667 %
c: 1
sigma: 1
accuracy: 99.96666666666667 %
c: 1
sigma: 10
accuracy: 89.03333333333333 %
c: 1
sigma: 100
accuracy: 60.766666666666666 %
c: 10
sigma: 0.001
accuracy: 99.96666666666667 %
c: 10
sigma: 0.01
accuracy: 99.96666666666667 %
c: 10
sigma: 0.1
accuracy: 99.96666666666667 %
c: 10
sigma: 1
accuracy: 99.96666666666667 %
c: 10
sigma: 10
accuracy: 96.96666666666667 %
c: 10
sigma: 100
accuracy: 60.766666666666666 %
c: 100
sigma: 0.001
accuracy: 99.96666666666667 %
c: 100
sigma: 0.01
accuracy: 99.96666666666667 %
c: 100
sigma: 0.1
accuracy: 99.96666666666667 %
c: 100
sigma: 1
accuracy: 99.96666666666667 %
c: 100
sigma: 10
accuracy: 99.5 %
c: 100
sigma: 100
accuracy: 62.8 %
c: 1000
sigma: 0.001
accuracy: 99.96666666666667 %
c: 1000
sigma: 0.01
accuracy: 99.96666666666667 %
c: 1000
sigma: 0.1
accuracy: 99.96666666666667 %
c: 1000
sigma: 1
accuracy: 99.96666666666667 %
c: 1000
sigma: 10
accuracy: 99.83333333333333 %
c: 1000
sigma: 100
accuracy: 94.6 %
